column number,Country,TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,total_vaccinations
38,Chile,5384853,64497.0,5252450.0,279730.0,3350.0,19250195.0,66864900.0
39,China,503302,5272.0,379053.0,347.0,4.0,1448471400.0,3516880717.0
40,Colombia,6400173,143200.0,6212152.0,124244.0,2780.0,51512762.0,90931192.0
41,Comoros,9109,161.0,8939.0,10038.0,177.0,907419.0,835021.0
42,Congo,25375,386.0,24006.0,4377.0,67.0,5797805.0,833210.0
43,Cook Islands,7203,2.0,7150.0,409937.0,114.0,17571.0,40854.0
44,Costa Rica,1238883,9428.0,0,239058.0,1819.0,5182354.0,13576935.0
45,Croatia,1309728,18687.0,1258432.0,322650.0,4604.0,4059286.0,5435966.0
46,Cuba,1115251,8530.0,1106660.0,98645.0,754.0,11305652.0,45995747.0
47,Cyprus,681110,1365.0,679745.0,556741.0,1116.0,1223387.0,1891597.0
48,Czechia,4759041,43517.0,4715206.0,443246.0,4053.0,10736784.0,19047108.0
49,Denmark,3183756,8814.0,3174942.0,545636.0,1511.0,5834950.0,14961517.0
50,Djibouti,15690,189.0,15427.0,15441.0,186.0,1016097.0,723789.0
51,Dominica,16038,74.0,15964.0,221691.0,1023.0,72344.0,67647.0
52,Dominican Republic,675890,4384.0,671316.0,61131.0,397.0,11056370.0,16431089.0
53,Ecuador,1070188,36043.0,1034145.0,59083.0,1990.0,18113361.0,39585085.0
54,Egypt,516023,24613.0,442182.0,4861.0,232.0,106156692.0,112673535.0
55,El Salvador,201855,4230.0,179410.0,30816.0,646.0,6550389.0,11459448.0
56,Equatorial Guinea,17229,183.0,16907.0,11512.0,122.0,1496662.0,488738.0
57,Estonia,628070,3001.0,0,475123.0,2270.0,1321910.0,2171520.0
58,Eswatini,75191,1427.0,73116.0,63462.0,1204.0,1184817.0,870205.0
59,Ethiopia,501157,7574.0,488171.0,4148.0,63.0,120812698.0,68856793.0
60,Falkland Islands,1930,0,1930.0,545352.0,0,3539.0,4407.0
61,Fiji,69117,885.0,67226.0,75997.0,973.0,909466.0,1555182.0
62,Finland,1516117,11958.0,1503989.0,272930.0,2153.0,5554960.0,13327120.0
63,France,40138560,167642.0,39970918.0,612013.0,2556.0,65584518.0,158060078.0
64,French Polynesia,79254,650.0,0,278902.0,2287.0,284164.0,502952.0
