column number,Country,TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,ISO3
52,Ireland,1734582,9491.0,1724921.0,345521.0,1891.0,5020199.0,IRL
53,Pakistan,1581936,30664.0,1538689.0,6893.0,134.0,229488994.0,PAK
54,Finland,1516117,11958.0,1503989.0,272930.0,2153.0,5554960.0,FIN
55,Norway,1509732,6638.0,1503094.0,273930.0,1204.0,5511370.0,NOR
56,Kazakhstan,1411831,13848.0,1383020.0,73514.0,721.0,19205043.0,KAZ
57,Lithuania,1397806,9897.0,1387478.0,525154.0,3718.0,2661708.0,LTU
58,Slovenia,1356546,7100.0,1349424.0,652803.0,3417.0,2078034.0,SVN
59,Bulgaria,1339851,38748.0,1292944.0,195753.0,5661.0,6844597.0,BGR
60,Croatia,1309728,18687.0,1258432.0,322650.0,4604.0,4059286.0,HRV
61,Guatemala,1291293,20289.0,1269891.0,69484.0,1092.0,18584039.0,GTM
62,Morocco,1278992,16303.0,,33860.0,432.0,37772756.0,MAR
63,Lebanon,1243838,10952.0,1087587.0,186068.0,1638.0,6684849.0,LBN
64,Costa Rica,1238883,9428.0,,239058.0,1819.0,5182354.0,CRI
65,Bolivia,1212131,22407.0,1177145.0,101073.0,1868.0,11992656.0,BOL
66,Tunisia,1153361,29423.0,,95741.0,2442.0,12046656.0,TUN
67,Cuba,1115251,8530.0,1106660.0,98645.0,754.0,11305652.0,CUB
68,Ecuador,1070188,36043.0,1034145.0,59083.0,1990.0,18113361.0,ECU
69,United Arab Emirates,1067030,2349.0,,105837.0,233.0,10081785.0,ARE
70,Panama,1059893,8727.0,1051102.0,238341.0,1962.0,4446964.0,PAN
71,Uruguay,1041111,7664.0,1030944.0,297799.0,2192.0,3496016.0,URY
72,Mongolia,1011496,2284.0,1009212.0,299429.0,676.0,3378078.0,MNG
73,Nepal,1003450,12031.0,991322.0,33199.0,398.0,30225582.0,NPL
74,Belarus,994037,7118.0,985592.0,105381.0,755.0,9432800.0,BLR
75,Latvia,982505,6715.0,971406.0,531418.0,3632.0,1848837.0,LVA
76,Saudi Arabia,841469,9646.0,,23475.0,269.0,35844909.0,SAU
77,Paraguay,837602,20155.0,,114648.0,2759.0,7305843.0,PRY
78,Azerbaijan,835234,10400.0,824089.0,81089.0,1010.0,10300205.0,AZE
79,Bahrain,729549,1574.0,727915.0,408944.0,882.0,1783983.0,BHR
80,Cyprus,681110,1365.0,679745.0,556741.0,1116.0,1223387.0,CYP
81,Dominican Republic,675890,4384.0,671316.0,61131.0,397.0,11056370.0,DOM
